3666005552917000109,"5 347 130,00 ",13.09.2017,31.12.2017,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЕКАТЕРИНБУРГСКИЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР""","Общество с ограниченной ответственностью ""МО ""Отдел медицинской техники""",6660055529,6658126476,08.02.2001,"['620102, г. Екатеринбург, ул. Ясная, 46']",(343) 231-80-10,omt@omt-ural.ru,26.60.13.190,"Устройство терморегулирующее ""Аллон 2001"""
3665600177820000001,"1 264 637,00 ",27.08.2020,28.10.2020,Электронный аукцион,БЛАГОВЕЩЕНСКОЕ СЕЛЬСКОЕ УПРАВЛЕНИЕ АДМИНИСТРАЦИИ ТУРИНСКОГО ГОРОДСКОГО ОКРУГА,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСЕРВИС"" (ООО ""СТРОЙСЕРВИС"")",6656001778,6656004948,01.09.2011,"['623900 Свердловская область, Туринский район, г. Туринск ул. Ватомова  52']",7-34349-21231,stroy-tur@bk.ru,42.11.10.129,"Выполнение работ по замене отдельных звеньев и оголовков водопропускных труб, прочистке водоотводных канав, восстановлению профиля щебеночных дорог с добавлением нового материала в с. Благовещенское и с. Дымковское Туринского района"
3667800674819000016,"1 180 785,52 ",24.05.2019,25.07.2019,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГРАЖДАНСКОЙ ЗАЩИТЫ БЕРЕЗОВСКОГО ГОРОДСКОГО ОКРУГА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГА""",6678006748,6671190030,28.03.2006,"['620014, Свердловская область, г. Екатеринбург ул. Попова-16-13']",8-909-0001166,powerstrong75@yandex.ru,43.39.19.190,"Ремонт здания по адресу: Гагарина, 1 (внутренние работы по ремонту помещений)"
3662000997421000051,"1 680 000,00 ",18.11.2021,30.12.2021,Запрос котировок в электронной форме,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ  УЧРЕЖДЕНИЕ КУШВИНСКОГО ГОРОДСКОГО ОКРУГА ""КОМИТЕТ ЖИЛИЩНО-КОММУНАЛЬНОЙ СФЕРЫ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРЕССИВНЫЕ ТЕХНОЛОГИИ ЭНЕРГЕТИКИ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРЕССИВНЫЕ ТЕХНОЛОГИИ ЭНЕРГЕТИКИ"")",6620009974,7447288825,06.08.2019,"['454112, ОБЛ ЧЕЛЯБИНСКАЯ 74, Г ЧЕЛЯБИНСК, ПР-КТ КОМСОМОЛЬСКИЙ, ДОМ 41Д, КВАРТИРА 45']",7-951254-6429,pte-chel@yandex.ru,43.21.10.220,1
1770989550919007394,"1 460 823,00 ",05.12.2019,30.06.2020,"Закупка у единственного поставщика (подрядчика, исполнителя)","МЕЖРЕГИОНАЛЬНЫЙ ФИЛИАЛ ФЕДЕРАЛЬНОГО КАЗЕННОГО УЧРЕЖДЕНИЯ ""ЦЕНТР ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ КАЗНАЧЕЙСТВА РОССИИ"" В Г. ЕКАТЕРИНБУРГЕ",ПЫТАЛЕВ АНДРЕЙ СТЕПАНОВИЧИндивидуальный предприниматель,7709895509,773671146984,20.07.2018,['Г МОСКВА 77'],8-912-4150862,pzs_arenda@mail.ru,68.20.12.000,"Передача во временное владение и пользование части помещений административного здания, расположенные по адресу: Ханты-Мансийский автономный округ – Югра, г. Нефтеюганск, микрорайон 2, дом 32 (Декабрь 2019)"
3660200716319000007,"1 466 010,00 ",24.06.2019,31.12.2019,Конкурс с ограниченным участием в электронной форме,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №2""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ ОБЩЕСТВЕННОГО ПИТАНИЯ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСТ ОБЩЕСТВЕННОГО ПИТАНИЯ"")",6602007163,6671357137,11.07.2011,"['620146, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ МОСКОВСКАЯ, 216, 88']",7-904-1661999,galchonok2689@yandex.ru,56.29.19.000,"Услуги по обеспечению питанием, осуществляемые по договору, прочие"
3662200236420000012,"6 848 560,47 ",06.04.2020,15.07.2020,"Электронный аукцион на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства, предусматривающих проектную документацию, утвержденную в порядке, установленном законодательством о градостроительной деятельности",АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА НИЖНЯЯ САЛДА,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛСТРОЙИНВЕСТЦЕНТР"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛСТРОЙИНВЕСТЦЕНТР"")",6622002364,6623044462,28.11.2007,"['622002, ОБЛ СВЕРДЛОВСКАЯ 66, Г НИЖНИЙ ТАГИЛ, УЛ КОСМОНАВТОВ, 34, 47']",7-922-6183841,str_invest@list.ru,42.21.21.000,Работы строительные по прокладке магистральных трубопроводов
3666000798019000377,"1 744 490,16 ",06.12.2019,30.04.2021,Электронный аукцион,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА №7""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАТРА"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАТРА"")",6660007980,6670437622,01.06.2016,"['620078, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ ВИШНЕВАЯ, ДОМ 35, ОФИС 602']",7-922-1115117,sidorkina_alena@bk.ru,21.20.10.181,ОКТРЕОТИД
1666901352317000089,"1 906 000,00 ",07.11.2017,25.12.2017,Электронный аукцион,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 6 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ""",Гвоздев Андрей ВладимировичИндивидуальный предприниматель,6669013523,662339659563,14.03.2014,"['622049, Нижний Тагил, Захарова, 10-168']",7-982-6437300,buh.ik6@mail.ru,43.39.19.190,работы по капитальному ремонту здания Дома ребенка
3663301698618000006,"12 402 000,00 ",12.07.2018,31.12.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""БОГДАНОВИЧСКИЕ ТЕПЛОВЫЕ СЕТИ""","ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЕРДЛОВЭНЕРГОСБЫТ"" (ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СВЕРДЛОВЭНЕРГОСБЫТ"")",6633016986,6670082105,01.04.2005,"['620075, обл СВЕРДЛОВСКАЯ 66, г ЕКАТЕРИНБУРГ, ул КУЗНЕЧНАЯ, 92']",7-34376-51170,bgd_oaef@mail.ru,35.11.10.112,"Электроэнергия, произведенная теплоэлектроцентралями (ТЭЦ) общего назначения"
2666100219918000365,"1 569 847,79 ",11.05.2018,31.12.2018,Электронный аукцион,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""ОБЛАСТНАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""","ООО ""МЦР ДЭНС-терапии""",6661002199,6672144621,21.10.2002,"['620146, Российская Федерация, Свердловская обл., г. Екатеринбург, ул. Академика Постовского, 15, ОКАТО: 65401377000']",7-495-9662023,-,86.10.19.000,Проведение периодического медицинского осмотра работников на базе ЛПУ
3660601176318000055,"12 499 633,00 ",04.09.2018,21.12.2018,Электронный аукцион,"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""КОМИТЕТ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ГРУППА КОМПАНИЙ ""ЭКСПО-ГРУП"" (ООО ГК ""ЭКСПО-ГРУП"")",6606011763,6678030250,13.05.2016,"['620130, ОБЛ СВЕРДЛОВСКАЯ 66, Г ЕКАТЕРИНБУРГ, УЛ БЕЛИНСКОГО, ДОМ 222, ОФИС  419']",7-343-3615375,expo-group@bk.ru,42.11.10.129,"Ремонт автомобильных дорог общего пользования местного значения в п. Кедровое по ул. Школьников, Северная, Кирова, 40-летия Октября, Классона в границах ГО Верхняя Пышма"
2665846316816000868,"2 003 300,00 ",27.09.2016,31.12.2017,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СВЕРДЛОВСКИЙ ОБЛАСТНОЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""","Общество с ограниченной ответственностью ""Медтехснаб""",6658463168,7730635912,13.12.2010,"['121059, Российская Федерация, г. Москва, наб. Бережковская, дом 20 стр.8, ОКАТО: 45268554000']",7-495-7244799,medtechsnab@gmail.com,33.13.12.000,Сервисное обслуживание
1722300731619000161,"1 229 558,00 ",29.10.2019,31.12.2019,Открытый конкурс в электронной форме,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНОЕ УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ ""УРАЛ"" ФЕДЕРАЛЬНОГО ДОРОЖНОГО АГЕНТСТВА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙНАДЗОР"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОРСТРОЙНАДЗОР"")",7223007316,7714875748,13.06.2012,"['123007, Г МОСКВА 77, УЛ МАГИСТРАЛЬНАЯ 1-Я, 18, СТР.1']",7-495-6444511,pdo@dorstroinadzor.ru,71.12.20.190,"Осуществление строительного контроля на объекте: ""Капитальный ремонт автомобильной дороги Р-404 Тюмень - Тобольск - Ханты-Мансийск км 30+000 - км 38+000 в Тюменской области"""
3661100132021000014,"1 643 333,00 ",09.03.2021,31.12.2021,Электронный аукцион,АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ИРБИТ,Кузьмин Юрий АлексеевичИндивидуальный предприниматель,6611001320,661100019516,01.08.2000,"['623851, Свердловская обл., г Ирбит, ул. Советская, д.87, кв.9']",7-912-6031073,juriyy-kuzmin@rambler.ru,68.10.11.000,Приобретение квартиры
3662100326018000019,"2 239 525,00 ",07.05.2018,31.12.2018,Электронный аукцион,УПРАВЛЕНИЕ ОБРАЗОВАНИЯ НЕВЬЯНСКОГО ГОРОДСКОГО ОКРУГА,"Федеральное государственное автономное образовательное учреждение высшего образования ""Уральский федеральный университет имени первого Президента России Б.Н.Ельцина""",6621003260,6660003190,17.01.2001,"['620000,Свердловская область, г.Екатеринбург, ул. Мира, 19']",8-343-3759379,t.a.nikitenko@urfu.ru,86.90.19.140,"Оказание услуг отдыха и оздоровления детей в лагере, расположенном в экологически чистом районе, удаленностью от г.Невьянска не далее 120 км"
1666800047218000070,"2 000 000,00 ",23.05.2018,30.06.2018,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ "" НИЖНЕТАГИЛЬСКИЙ ИНСТИТУТ ИСПЫТАНИЯ МЕТАЛЛОВ""","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГЛАВНЫЙ ЦЕНТР СПЕЦИАЛЬНОЙ СВЯЗИ"" (ФГУП ГЦСС)",6668000472,7717043113,28.12.1991,"['129626, Г МОСКВА 77, УЛ МЫТИЩИНСКАЯ 1-Я, 17']",7-343-3517551,Ekaterinburg-order@cccb.ru,49.41.19.900,Оказание услуг специальной связи по перевозке опасных грузов
2666202298420000574,"2 244 550,00 ",08.09.2020,30.12.2020,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СВЕРДЛОВСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛУГЛЕСБЫТ""",6662022984,6670432409,11.12.2014,"['620026, ОБЛ СВЕРДЛОВСКАЯ, Г ЕКАТЕРИНБУРГ, УЛ БАЖОВА, ДОМ 193, ОФИС 408']",8-343-2614656,nf49@inbox.ru,,Уголь
1666202299119000084,"2 069 000,00 ",09.10.2019,31.10.2019,"Закупка у единственного поставщика (подрядчика, исполнителя)","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ЕКАТЕРИНБУРГСКИЙ ГОСУДАРСТВЕННЫЙ АКАДЕМИЧЕСКИЙ ТЕАТР ОПЕРЫ И БАЛЕТА""",Чудовский Константин Юрьевич,6662022991,773274063410,21.10.2014,['г. Москва ул. Шолохова д 7 кв. 217'],7-343-3504524,tenders@uralopera.ru,90.02.11.000,"Услуги по созданию спектаклей, концертов и иных зрелищных программ (произведений исполнительского искусства)"
3666100466117000102,"2 599 999,92 ",11.12.2017,31.12.2017,"Закупка у единственного поставщика (подрядчика, исполнителя)",АДМИНИСТРАЦИЯ ГОРОДА ЕКАТЕРИНБУРГА,"Общество с ограниченной ответственностью ""Группа компаний ""Диалог"" (ООО ""ГК ""Диалог"")",6661004661,6658481664,25.01.2016,"['620109, Свердловская область, город Екатеринбург, ул. Мельникова, д. 52, офис 2']",3432161073,mail@dialog-e.ru,26.30.30.000,Поставка телекоммуникационных шкафов
3663201063921000013,"2 271 465,71 ",14.12.2021,31.01.2023,Электронный аукцион,МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №23,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНАЯ ОХРАННАЯ ОРГАНИЗАЦИЯ ""БУЛАВА-К"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНАЯ ОХРАННАЯ ОРГАНИЗАЦИЯ ""БУЛАВА-К"")",6632010639,6671102570,19.01.2021,"['620131, ОБЛ. СВЕРДЛОВСКАЯ 66, Г. Екатеринбург, УЛ. КРАУЛЯ, Д. 93, ОФИС 255']",8-90244-30000,89024430000@mail.ru,,1
